,ÀÏ·Ã¹øÈ£,Ç°¹ø,½ÃÇèÀÏÀÚ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ºÒÇÕ°Ý Ç×¸ñ,ÆÇÁ¤,LOT ¹øÈ£,ÇÕ°Ý¿©ºÎ,»ý»ê³â¿ù,½ÃÇè³â¿ù,¿î¿ë¿ù
52,SG 08 A678 00,81046010,2023.1.2,3.000 ,2.031 ,1750.000 ,550.000 ,510.000 ,2300.000 ,5100.000 ,540.000 ,3.069 ,101.045 ,1.782 ,2.456 ,2.529 ,2.466 ,0.000 ,0.000 ,2.505 ,4.999 ,14.996 ,-14.832 ,10.063 ,0.060 ,20.357 ,0.459 ,10.001 ,0.123 ,20.0,½ºÄûºê,ºÒÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ºÒÇÕ°Ý,0809,2301,172.0
53,SG 08 A679 00,81046010,2022.12.28,2.100 ,2.020 ,1800.000 ,550.000 ,500.000 ,2300.000 ,5500.000 ,550.000 ,3.034 ,100.997 ,1.797 ,2.471 ,2.529 ,2.471 ,0.000 ,0.000 ,2.490 ,4.999 ,15.070 ,-14.905 ,9.845 ,-0.057 ,20.112 ,0.358 ,9.838 ,0.050 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2212,171.0
54,SG 08 A680 00,81046010,2023.1.2,2.175 ,2.036 ,1700.000 ,530.000 ,500.000 ,1500.000 ,3500.000 ,530.000 ,3.069 ,100.918 ,1.797 ,2.456 ,2.578 ,2.412 ,0.000 ,0.000 ,2.485 ,4.980 ,15.015 ,-14.832 ,10.047 ,0.017 ,20.386 ,0.375 ,10.012 ,0.092 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
55,SG 08 A711 00,81046010,2023.1.3,2.096 ,2.028 ,1800.000 ,560.000 ,510.000 ,2300.000 ,5900.000 ,520.000 ,3.059 ,99.789 ,1.797 ,2.437 ,2.515 ,2.441 ,0.000 ,0.000 ,2.490 ,4.999 ,15.033 ,-15.198 ,9.551 ,0.065 ,19.696 ,0.598 ,9.540 ,0.185 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
56,SG 08 A801 00,81046010,2023.1.2,2.079 ,2.008 ,1600.000 ,550.000 ,500.000 ,2400.000 ,5500.000 ,500.000 ,3.059 ,100.758 ,1.841 ,2.480 ,2.524 ,2.437 ,0.000 ,0.000 ,2.495 ,4.999 ,14.996 ,-14.813 ,9.579 ,-0.003 ,20.033 ,0.491 ,9.564 ,0.108 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2301,169.0
57,SG 08 A802 00,81046010,2023.1.3,2.083 ,2.033 ,1800.000 ,550.000 ,510.000 ,2300.000 ,5200.000 ,545.000 ,3.070 ,100.731 ,1.787 ,2.422 ,2.534 ,2.397 ,0.000 ,0.000 ,2.485 ,4.999 ,14.978 ,-14.850 ,9.761 ,0.061 ,20.210 ,0.685 ,9.717 ,0.141 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2301,169.0
58,SG 08 A803 00,81046010,2023.1.3,1.900 ,2.009 ,1600.000 ,580.000 ,530.000 ,2300.000 ,5500.000 ,550.000 ,3.052 ,100.944 ,1.826 ,2.490 ,2.524 ,2.432 ,0.000 ,0.000 ,2.490 ,4.999 ,15.051 ,-14.923 ,9.594 ,0.005 ,19.932 ,0.548 ,9.594 ,0.079 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2301,169.0
59,SG 08 A804 00,81046010,2023.1.2,2.117 ,2.045 ,1750.000 ,550.000 ,500.000 ,2300.000 ,5500.000 ,500.000 ,3.069 ,100.578 ,1.807 ,2.456 ,2.485 ,2.417 ,0.000 ,0.039 ,2.490 ,4.980 ,15.051 ,-14.996 ,9.892 ,0.029 ,20.188 ,0.675 ,9.848 ,0.149 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2301,169.0
60,SG 08 A806 00,81046010,2023.1.3,2.174 ,2.025 ,1800.000 ,550.000 ,510.000 ,2300.000 ,5500.000 ,540.000 ,3.069 ,100.787 ,1.812 ,2.471 ,2.520 ,2.402 ,0.000 ,0.000 ,2.490 ,4.993 ,14.960 ,-14.777 ,9.963 ,0.073 ,20.079 ,0.707 ,9.921 ,0.178 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2301,169.0
61,SG 07 A540 00,81046010,2023.1.9,2.014 ,2.339 ,1850.000 ,560.000 ,530.000 ,2400.000 ,5500.000 ,550.000 ,3.069 ,100.862 ,1.792 ,2.456 ,2.539 ,2.422 ,0.000 ,0.000 ,2.490 ,4.999 ,15.051 ,-14.813 ,9.745 ,-0.043 ,20.152 ,0.344 ,9.713 ,0.073 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø07Å¸056-017°¡,ÇÕ°Ý,0712,2301,181.0
62,SG 07 A542 00,81046010,2023.1.9,2.090 ,2.393 ,1800.000 ,560.000 ,520.000 ,2400.000 ,5500.000 ,550.000 ,3.041 ,99.760 ,1.826 ,2.437 ,2.554 ,2.393 ,0.000 ,0.000 ,2.490 ,4.993 ,15.015 ,-14.832 ,9.879 ,-0.063 ,20.301 ,0.101 ,9.826 ,0.006 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø07Å¸056-017°¡,ÇÕ°Ý,0712,2301,181.0
63,SG 07 A544 00,81046010,2023.1.9,2.118 ,2.100 ,1800.000 ,560.000 ,530.000 ,2400.000 ,5500.000 ,550.000 ,3.069 ,101.278 ,1.816 ,2.480 ,2.529 ,2.456 ,0.000 ,0.000 ,2.490 ,4.999 ,14.978 ,-14.703 ,9.757 ,-0.055 ,20.267 ,0.313 ,9.765 ,0.086 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø07Å¸056-017°¡,ÇÕ°Ý,0712,2301,181.0
64,SG 07 A545 00,81046010,2023.1.5,2.022 ,2.035 ,1700.000 ,550.000 ,510.000 ,2400.000 ,5200.000 ,540.000 ,3.043 ,100.808 ,1.792 ,2.471 ,2.515 ,2.437 ,0.000 ,0.000 ,2.480 ,5.005 ,14.941 ,-14.758 ,9.715 ,0.049 ,20.083 ,0.654 ,9.713 ,0.152 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø07Å¸056-017°¡,ÇÕ°Ý,0712,2301,181.0
65,SG 07 A546 00,81046010,2023.1.9,2.146 ,2.038 ,1750.000 ,550.000 ,510.000 ,2300.000 ,5500.000 ,540.000 ,3.069 ,100.768 ,1.782 ,2.480 ,2.559 ,2.417 ,0.000 ,0.000 ,2.485 ,5.005 ,14.996 ,-14.758 ,10.063 ,0.080 ,20.428 ,0.441 ,10.009 ,0.073 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø07Å¸056-017°¡,ÇÕ°Ý,0712,2301,181.0
66,SG 07 A547 00,81046010,2023.1.9,2.000 ,2.360 ,1750.000 ,590.000 ,545.000 ,2350.000 ,5900.000 ,550.000 ,3.052 ,100.729 ,1.772 ,2.437 ,2.520 ,2.417 ,0.000 ,0.000 ,2.490 ,4.999 ,14.941 ,-14.832 ,10.025 ,-0.026 ,20.691 ,0.300 ,10.052 ,0.068 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø07Å¸056-017°¡,ÇÕ°Ý,0712,2301,181.0
67,SG 07 A548 00,81046010,2023.1.5,2.000 ,2.072 ,1550.000 ,560.000 ,510.000 ,2400.000 ,5500.000 ,540.000 ,,,,,,,,,,,,,,,,,,,,Á¤·Ä,ºÒÇÕ°Ý,¿¤³Ø¿ø07Å¸056-017°¡,ºÒÇÕ°Ý,0712,2301,181.0
68,SG 07 A549 00,81046010,2023.1.9,2.080 ,2.057 ,1600.000 ,550.000 ,530.000 ,2300.000 ,4200.000 ,550.000 ,3.069 ,99.473 ,1.777 ,2.422 ,2.559 ,2.393 ,0.000 ,0.000 ,2.480 ,5.005 ,14.923 ,-15.125 ,9.942 ,-0.004 ,20.265 ,0.475 ,9.868 ,0.102 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø07Å¸056-017°¡,ÇÕ°Ý,0712,2301,181.0
69,SG 07 A550 00,81046010,2023.1.9,2.413 ,2.049 ,1800.000 ,560.000 ,540.000 ,2400.000 ,5500.000 ,550.000 ,3.061 ,100.949 ,1.821 ,2.446 ,2.539 ,2.446 ,0.000 ,0.000 ,2.490 ,5.005 ,14.996 ,-14.777 ,9.814 ,-0.135 ,20.359 ,0.268 ,9.764 ,-0.026 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø07Å¸056-017°¡,ÇÕ°Ý,0712,2301,181.0
70,SG 08 A812 00,81046010,2023.1.17,2.134 ,2.027 ,1800.000 ,560.000 ,510.000 ,2350.000 ,5500.000 ,520.000 ,3.532 ,99.923 ,1.821 ,2.461 ,2.544 ,2.437 ,0.000 ,0.000 ,2.495 ,4.993 ,14.996 ,-14.868 ,7.141 ,-2.202 ,,,,,13.0,"±âº»¼º´É(°­Á¦¼¼Â÷), ³Ã°¢À¯Áö½Ã°£",ºÒÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ºÒÇÕ°Ý,0812,2301,169.0
71,SG 08 A815 00,81046010,2023.1.16,2.100 ,2.030 ,1800.000 ,590.000 ,540.000 ,2250.000 ,5500.000 ,550.000 ,3.052 ,100.615 ,1.770 ,2.440 ,2.549 ,2.461 ,0.000 ,0.000 ,2.485 ,4.987 ,15.015 ,-14.850 ,9.832 ,-0.074 ,20.179 ,0.346 ,9.810 ,0.018 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Å¸056-023°¡,ÇÕ°Ý,0812,2301,169.0
72,SG 08 A635 00,81046010,2023.1.19,2.129 ,2.025 ,1800.000 ,550.000 ,530.000 ,2300.000 ,5300.000 ,550.000 ,3.069 ,100.674 ,1.816 ,2.461 ,2.510 ,2.451 ,0.000 ,0.000 ,2.485 ,4.987 ,14.941 ,-14.813 ,9.956 ,-0.080 ,20.352 ,0.294 ,9.897 ,-0.009 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08¾Æ056-019°¡,ÇÕ°Ý,0808,2301,173.0
73,SG 08 A694 00,81046010,2023.1.19,2.140 ,2.027 ,1800.000 ,560.000 ,540.000 ,2300.000 ,5500.000 ,550.000 ,3.060 ,99.712 ,1.826 ,2.461 ,2.485 ,2.471 ,0.000 ,0.000 ,2.490 ,4.999 ,14.978 ,-15.161 ,9.457 ,-0.006 ,3.410 ,-0.024 ,-14.560 ,-0.523 ,21.0,"ÃÖ´ëÃßÀû·ü, °íÂø¹®ÅÎ°ª",ºÒÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ºÒÇÕ°Ý,0809,2301,172.0
74,SG 08 A695 00,81046010,2023.1.13,2.100 ,2.023 ,1800.000 ,590.000 ,550.000 ,2400.000 ,5600.000 ,550.000 ,3.069 ,100.431 ,1.792 ,2.495 ,2.500 ,2.456 ,0.000 ,0.000 ,2.485 ,4.993 ,14.960 ,-14.905 ,10.065 ,-0.101 ,20.452 ,0.208 ,10.053 ,0.010 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
75,SG 08 A696 00,81046010,2023.1.17,2.093 ,2.019 ,1800.000 ,560.000 ,530.000 ,2200.000 ,5100.000 ,550.000 ,3.069 ,100.449 ,1.816 ,2.524 ,2.515 ,2.427 ,0.000 ,0.000 ,2.485 ,4.987 ,14.978 ,-14.886 ,9.896 ,-0.061 ,20.277 ,0.168 ,9.892 ,0.028 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
76,SG 08 A697 00,81046010,2023.1.18,2.152 ,2.026 ,1750.000 ,550.000 ,510.000 ,2200.000 ,5000.000 ,530.000 ,3.299 ,100.102 ,1.802 ,2.446 ,2.544 ,2.441 ,0.000 ,0.000 ,2.485 ,4.968 ,14.960 ,-14.813 ,9.719 ,-0.060 ,20.048 ,0.228 ,9.749 ,0.034 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
77,SG 08 A698 00,81046010,2023.1.19,2.139 ,2.049 ,1800.000 ,550.000 ,530.000 ,2350.000 ,5500.000 ,550.000 ,2.892 ,100.889 ,1.812 ,2.461 ,2.524 ,2.441 ,0.000 ,0.000 ,2.490 ,4.987 ,15.033 ,-14.868 ,9.769 ,-0.038 ,20.119 ,0.372 ,9.782 ,0.084 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
78,SG 08 A699 00,81046010,2023.1.16,2.355 ,2.029 ,1800.000 ,550.000 ,510.000 ,2300.000 ,5450.000 ,540.000 ,3.069 ,100.989 ,1.812 ,2.461 ,2.451 ,2.554 ,0.000 ,0.010 ,2.490 ,4.999 ,15.015 ,-14.758 ,9.940 ,-0.006 ,20.289 ,0.333 ,9.916 ,0.157 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
79,SG 08 A700 00,81046010,2023.1.17,2.078 ,2.021 ,1800.000 ,550.000 ,510.000 ,2200.000 ,5100.000 ,530.000 ,3.061 ,100.653 ,1.777 ,2.417 ,2.524 ,2.451 ,0.000 ,0.000 ,2.485 ,4.999 ,14.960 ,-14.868 ,9.894 ,-0.052 ,20.414 ,-0.022 ,9.883 ,0.042 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
80,SG 08 A701 00,81046010,2023.1.18,2.300 ,2.038 ,1800.000 ,550.000 ,510.000 ,2400.000 ,5500.000 ,545.000 ,3.069 ,100.611 ,1.807 ,2.441 ,2.422 ,2.544 ,0.000 ,0.000 ,2.490 ,4.999 ,14.996 ,-14.923 ,10.143 ,-0.087 ,20.639 ,0.467 ,10.138 ,0.054 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
81,SG 08 A702 00,81046010,2023.1.17,2.081 ,6.218 ,1850.000 ,560.000 ,550.000 ,2400.000 ,5500.000 ,550.000 ,3.060 ,100.917 ,1.768 ,2.466 ,2.559 ,2.456 ,0.000 ,0.000 ,2.490 ,4.993 ,14.996 ,-14.777 ,9.891 ,-0.163 ,20.328 ,0.260 ,9.874 ,-0.042 ,21.0,½ºÄûºê,ºÒÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ºÒÇÕ°Ý,0810,2301,171.0
82,SG 08 A704 00,81046010,2023.1.19,2.800 ,1.995 ,1800.000 ,590.000 ,540.000 ,2400.000 ,5500.000 ,550.000 ,3.021 ,100.823 ,1.802 ,2.451 ,2.617 ,2.412 ,0.000 ,0.000 ,2.490 ,4.993 ,14.923 ,-14.832 ,9.780 ,0.034 ,20.029 ,0.601 ,9.768 ,0.153 ,21.0,½ºÄûºê,ºÒÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ºÒÇÕ°Ý,0810,2301,171.0
83,SG 08 A705 00,81046010,2023.1.18,2.052 ,1.994 ,1800.000 ,550.000 ,530.000 ,2300.000 ,5400.000 ,550.000 ,3.052 ,100.584 ,1.816 ,2.451 ,2.549 ,2.427 ,0.000 ,0.000 ,2.485 ,4.987 ,14.978 ,-14.923 ,9.741 ,-0.051 ,19.936 ,0.378 ,9.665 ,0.039 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
84,SG 08 A706 00,81046010,2023.1.16,2.098 ,2.029 ,1800.000 ,560.000 ,530.000 ,2300.000 ,5500.000 ,550.000 ,3.051 ,100.948 ,1.816 ,2.476 ,2.471 ,2.363 ,0.000 ,0.020 ,2.490 ,4.993 ,15.015 ,-14.795 ,9.833 ,0.009 ,20.029 ,0.614 ,9.845 ,0.110 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
85,SG 08 A707 00,81046010,2023.1.13,2.160 ,2.035 ,1800.000 ,555.000 ,530.000 ,2350.000 ,5500.000 ,550.000 ,3.052 ,100.643 ,1.826 ,2.437 ,2.534 ,2.466 ,0.000 ,0.000 ,2.490 ,5.005 ,14.978 ,-14.832 ,9.797 ,-0.141 ,20.255 ,-0.133 ,9.800 ,-0.098 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
86,SG 08 A718 00,81046010,2023.1.19,2.125 ,2.026 ,1800.000 ,550.000 ,510.000 ,2300.000 ,5300.000 ,540.000 ,3.012 ,100.917 ,1.797 ,2.461 ,2.520 ,2.422 ,0.000 ,0.000 ,2.490 ,4.999 ,14.960 ,-14.722 ,10.114 ,-0.080 ,20.516 ,0.183 ,10.107 ,0.000 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
87,SG 08 A719 00,81046010,2023.1.19,2.000 ,2.006 ,1700.000 ,550.000 ,510.000 ,2250.000 ,5100.000 ,510.000 ,3.069 ,99.890 ,1.836 ,2.466 ,2.539 ,2.422 ,0.000 ,0.000 ,2.490 ,4.980 ,14.923 ,-14.813 ,9.818 ,-0.051 ,20.304 ,0.319 ,9.826 ,0.042 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2301,171.0
88,SG 08 A778 00,81046010,2023.1.17,3.798 ,1.992 ,1750.000 ,560.000 ,510.000 ,2300.000 ,5450.000 ,530.000 ,3.052 ,100.580 ,1.792 ,2.446 ,2.559 ,2.461 ,0.000 ,0.000 ,2.490 ,4.999 ,14.978 ,-14.850 ,9.856 ,-0.063 ,20.230 ,0.400 ,9.848 ,0.069 ,21.0,½ºÄûºê,ºÒÇÕ°Ý,¿¤³Ø¿ø08Ä«056-022°¡,ºÒÇÕ°Ý,0811,2301,170.0
89,SG 08 A779 00,81046010,2023.1.19,2.029 ,2.013 ,1700.000 ,550.000 ,500.000 ,2200.000 ,5000.000 ,510.000 ,2.980 ,100.441 ,1.816 ,2.534 ,2.529 ,2.456 ,0.000 ,0.010 ,2.485 ,4.987 ,15.015 ,-14.996 ,9.917 ,-0.069 ,20.248 ,0.341 ,-14.997 ,-0.976 ,13.0,"°íÃ´¹®ÅÎ°ª, ³Ã°¢À¯Áö½Ã°£",ºÒÇÕ°Ý,¿¤³Ø¿ø08Ä«056-022°¡,ºÒÇÕ°Ý,0811,2301,170.0
90,SG 08 A654 00,81046010,2023.1.27,2.300 ,2.002 ,1800.000 ,550.000 ,530.000 ,2400.000 ,5500.000 ,560.000 ,3.061 ,100.924 ,1.826 ,2.446 ,2.520 ,2.422 ,0.000 ,0.000 ,2.485 ,5.011 ,14.978 ,-14.813 ,9.931 ,-0.146 ,20.416 ,0.184 ,9.952 ,-0.040 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
91,SG 08 A655 00,81046010,2023.1.27,2.115 ,2.013 ,1850.000 ,590.000 ,550.000 ,2400.000 ,5500.000 ,550.000 ,,,,,,,,,,,,,,,,,,,,Á¤·Ä,ºÒÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ºÒÇÕ°Ý,0809,2301,172.0
92,SG 08 A656 00,81046010,2023.2.1,2.000 ,2.011 ,1800.000 ,560.000 ,530.000 ,2400.000 ,5500.000 ,550.000 ,3.002 ,101.022 ,1.802 ,2.476 ,2.539 ,2.432 ,0.000 ,0.000 ,2.490 ,4.993 ,14.978 ,-14.795 ,10.071 ,-0.110 ,20.532 ,0.309 ,10.024 ,0.011 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2302,173.0
93,SG 08 A657 00,81046010,2023.1.26,2.100 ,2.025 ,1800.000 ,560.000 ,540.000 ,2400.000 ,5500.000 ,550.000 ,3.069 ,100.381 ,1.807 ,2.461 ,2.554 ,2.422 ,0.000 ,0.000 ,2.490 ,4.993 ,14.941 ,-14.868 ,9.847 ,-0.119 ,20.309 ,0.009 ,9.871 ,-0.066 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
94,SG 08 A658 00,81046010,2023.1.26,2.125 ,2.014 ,1800.000 ,550.000 ,530.000 ,2300.000 ,5500.000 ,550.000 ,3.042 ,100.958 ,1.821 ,2.451 ,2.554 ,2.422 ,0.000 ,0.000 ,2.490 ,4.987 ,15.015 ,-14.813 ,9.886 ,-0.063 ,20.450 ,0.212 ,9.914 ,-0.030 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
95,SG 08 A659 00,81046010,2023.1.31,2.121 ,2.020 ,1750.000 ,550.000 ,510.000 ,2250.000 ,5000.000 ,530.000 ,3.022 ,100.682 ,1.787 ,2.427 ,2.520 ,2.466 ,0.000 ,0.000 ,2.490 ,4.999 ,14.978 ,-14.850 ,10.155 ,-0.048 ,20.625 ,0.171 ,10.147 ,0.046 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
96,SG 08 A660 00,81046010,2023.2.1,2.149 ,2.022 ,1800.000 ,550.000 ,530.000 ,2350.000 ,5500.000 ,550.000 ,3.010 ,101.126 ,1.821 ,2.446 ,2.495 ,2.466 ,0.000 ,0.000 ,2.490 ,4.999 ,14.960 ,-14.740 ,10.000 ,0.228 ,20.390 ,0.708 ,10.004 ,0.305 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2302,173.0
97,SG 08 A661 00,81046010,2023.1.30,2.113 ,2.021 ,1800.000 ,550.000 ,510.000 ,2300.000 ,5300.000 ,550.000 ,3.052 ,100.802 ,1.831 ,2.515 ,2.515 ,2.417 ,0.000 ,0.000 ,2.490 ,4.993 ,14.978 ,-14.777 ,9.872 ,-0.034 ,20.210 ,0.266 ,9.851 ,0.010 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
98,SG 08 A662 00,81046010,2023.1.30,2.095 ,1.989 ,1800.000 ,550.000 ,530.000 ,2350.000 ,5500.000 ,550.000 ,3.070 ,100.572 ,1.816 ,2.437 ,2.515 ,2.432 ,0.000 ,0.000 ,2.490 ,5.011 ,14.996 ,-14.868 ,9.780 ,-0.001 ,20.072 ,0.588 ,9.784 ,0.092 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
99,SG 08 A663 00,81046010,2023.1.30,2.100 ,2.072 ,1900.000 ,560.000 ,540.000 ,2350.000 ,5500.000 ,550.000 ,3.059 ,99.449 ,1.807 ,2.461 ,2.529 ,2.456 ,0.000 ,0.000 ,2.490 ,4.999 ,14.996 ,-15.234 ,9.768 ,-0.057 ,19.902 ,0.241 ,9.789 ,0.019 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
100,SG 08 A664 00,81046010,2023.1.30,2.000 ,2.000 ,1850.000 ,580.000 ,550.000 ,2400.000 ,5800.000 ,590.000 ,3.052 ,101.094 ,1.821 ,2.510 ,2.554 ,2.490 ,0.000 ,0.000 ,2.490 ,4.993 ,14.978 ,-14.777 ,9.806 ,-0.054 ,20.338 ,0.327 ,9.836 ,0.063 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
101,SG 08 A665 00,81046010,2023.1.27,2.073 ,2.038 ,1800.000 ,550.000 ,530.000 ,2350.000 ,5500.000 ,550.000 ,3.052 ,100.656 ,1.821 ,2.485 ,2.539 ,2.437 ,0.000 ,0.000 ,2.490 ,4.999 ,14.960 ,-14.886 ,9.805 ,-0.055 ,20.071 ,0.469 ,9.773 ,0.082 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
102,SG 08 A666 00,81046010,2023.1.31,2.065 ,2.029 ,1800.000 ,550.000 ,510.000 ,2300.000 ,5100.000 ,550.000 ,3.069 ,100.724 ,1.831 ,2.451 ,2.559 ,2.437 ,0.000 ,0.000 ,2.490 ,5.005 ,14.996 ,-14.850 ,9.938 ,-0.096 ,20.307 ,0.166 ,9.903 ,0.030 ,20.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
103,SG 08 A667 00,81046010,2023.1.31,2.111 ,2.017 ,1800.000 ,560.000 ,540.000 ,1600.000 ,4000.000 ,550.000 ,3.017 ,100.518 ,1.821 ,2.485 ,2.466 ,2.554 ,0.000 ,0.000 ,2.490 ,4.980 ,14.996 ,-14.923 ,10.020 ,-0.033 ,20.317 ,0.361 ,10.020 ,0.094 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
104,SG 08 A668 00,81046010,2023.1.31,2.263 ,2.021 ,1800.000 ,550.000 ,500.000 ,2300.000 ,5300.000 ,530.000 ,3.014 ,100.456 ,1.831 ,2.397 ,2.490 ,2.422 ,0.000 ,0.000 ,2.490 ,4.980 ,14.978 ,-14.905 ,9.876 ,0.011 ,20.394 ,0.370 ,9.845 ,0.092 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
105,SG 08 A669 00,81046010,2023.1.31,2.140 ,2.010 ,1800.000 ,550.000 ,500.000 ,2300.000 ,5500.000 ,500.000 ,3.031 ,100.826 ,1.836 ,2.476 ,2.539 ,2.437 ,0.000 ,0.000 ,2.490 ,5.011 ,14.960 ,-14.850 ,8.186 ,-1.621 ,,,,,14.0,³Ã°¢À¯Áö½Ã°£,ºÒÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ºÒÇÕ°Ý,0809,2301,172.0
106,SG 08 A670 00,81046010,2023.1.30,2.120 ,2.017 ,1800.000 ,550.000 ,510.000 ,2300.000 ,5500.000 ,550.000 ,3.069 ,99.448 ,1.831 ,2.407 ,2.510 ,2.432 ,0.000 ,0.000 ,2.490 ,4.999 ,15.015 ,-15.198 ,9.795 ,-0.061 ,20.181 ,0.427 ,9.754 ,0.056 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
107,SG 08 A671 00,81046010,2023.1.31,2.000 ,2.033 ,1800.000 ,550.000 ,510.000 ,2300.000 ,5500.000 ,550.000 ,3.061 ,101.036 ,1.821 ,2.480 ,2.500 ,2.476 ,0.000 ,0.000 ,2.495 ,4.999 ,15.015 ,-14.758 ,9.676 ,-0.005 ,20.039 ,0.386 ,9.677 ,0.101 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2301,172.0
