Code,,LOT 번호,일련번호,품번,시험일자,운용월,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,불합격 항목,합격여부
시험항목,시험항목1,,,,,,스퀴브 점검,,배선 점검,,,,,,기본성능 점검,,,,,,,,,,,,,,최대 추적률 점검,,고착 문턱값 점검,,냉각유지시간,,
,시험항목2,,,,,,열전지스퀴브 저항,사출모터스퀴브 저항,22P-PGND,PGND-22P,22N-PGND,PGND-22N,22P-22N,22N-22P,유도제어장치 점검,,아날로그 신호 점검,,,,,,,,,,강제세차 점검,,SLAP,SLAY,SLAP,SLAY,,,
,시험항목3,,,,,,,,,,,,,,자전기동시간,자전안정화주파수,아날로그 신호 점검,,,,,,,전원 점검,,,SLAP,SLAY,,,,,,,
,시험항목4,,,,,,,,,,,,,,,,ASLAP,ASLAY,ALOSRP,ALOSRY,AVIFSC,AFROLL,AMRSIN,+5V,+15V,-15V,,,,,,,,,
,,넥스원07아056-013,SG 07 A413 00,81040050,2019-07-15,143,2.54,2.05,1800,570,540,2400,5500,560,2.74,101.25,1.76,2.46,2.51,2.43,0,0,2.49,5,14.96,-14.76,9.95,0.25,21.31,0.84,9.96,0.22,23.22,,합격
,,넥스원07아056-013,SG 07 A414 00,81040050,2019-07-15,143,2.08,2,1800,590,550,2400,5500,550,2.6,101.48,1.81,2.41,2.53,2.43,0,0,2.49,4.98,15.01,-14.78,9.79,0.29,21.08,0.87,9.8,0.3,24,,합격
,,넥스원07타056-017,SG 07 A551 00,81040050,2019-07-15,140,15,2.03,1800,580,550,2400,5550,560,2.6,101.15,1.75,2.44,2.57,2.44,0,0.04,2.49,5.01,15.11,-14.76,10.17,0.14,21.47,0.84,10.2,0.19,24,스퀴브,불합격
,,넥스원08바056-018,SG 08 A594 00,81040050,2019-07-18,133,4.5,2.09,1800,590,550,2400,5500,560,2.6,101.02,1.8,2.46,2.49,2.42,0,0,2.49,5,14.96,-14.76,9.99,0.16,21.15,0.77,10.01,0.2,24,스퀴브,불합격
,,넥스원08아056-019,SG 08 A644 00,81040050,2019-07-19,131,3,1.99,1800,580,550,2400,5500,560,2.6,100.75,1.78,2.46,2.52,2.44,0,0,2.49,5,14.89,-14.83,9.87,0.31,21.11,1,9.87,0.33,24,스퀴브,불합격
,,넥스원08아056-019,SG 08 A645 00,81040050,2019-07-16,131,5.5,2,1800,590,550,2400,5500,570,2.6,100.84,1.8,2.46,2.5,2.47,0,0,2.5,5,14.96,-14.87,9.85,0.2,20.87,0.76,9.88,0.2,23.22,스퀴브,불합격
,,넥스원08카056-022,SG 08 A741 00,81040050,2019-07-18,128,2.15,2.03,1800,590,550,2400,5500,570,2.75,100.33,1.79,2.5,2.52,2.46,0,0,2.49,4.99,14.87,-14.92,10.04,0.4,21.17,1.27,10.03,0.38,24,,합격
,,넥스원09라056-026,SG 09 A843 00,81040050,2019-07-19,123,3,2.01,1800,570,540,2400,5500,560,2.51,100.68,1.78,2.47,2.56,2.44,0,0,2.49,4.97,14.96,-14.81,9.84,0.32,20.96,1.08,9.85,0.35,24,스퀴브,불합격
,,넥스원09카056-033,SG 09 B080 00,81040050,2019-07-15,116,13,2.02,1900,590,550,2500,5700,590,2.61,99.71,1.81,2.47,2.51,2.43,0,0,2.49,4.99,14.98,-15.23,9.73,0.14,20.67,0.36,9.75,0.17,24,스퀴브,불합격
,,넥스원09카056-033,SG 09 B093 00,81040050,2019-07-18,116,4.9,1.99,1800,570,540,2400,5500,560,2.85,100.79,1.8,2.48,2.51,2.46,0,0,2.49,4.99,14.94,-14.85,9.97,0.29,21.05,1.02,10,0.32,24,스퀴브,불합격
